caKeyUsageCriticalApplies;caKeyUsageCritical
isSubCA;subCaCertPoliciesExtPresent
subCaCertPoliciesExtPresent;subCaCertPoliciesNotMarkedCritical
isRoot;rootBasicConstraintsCritical
isRoot;rootPathLenNotPresent
isRoot;rootExtKeyUseNotPresent
isRoot;rootCertPoliciesNotPresent
isSubCert;subCertEkuValidFields
isSubCA;subCaEkuPresent
subCaEkuPresent;subCaEkuValidFields
isSubCert;subCertCertPoliciesExtPresent
subCertCertPoliciesExtPresent;subCertCertPoliciesNotMarkedCritical
subCaNameConstCritApplies;subCaNameConstrainsCritical
isRoot;rootCertPoliciesExtNotPresent
isSubCert;subCertCommonNameNotIncluded
subCertCommonNameFromSanApplies;subCertCommonNameFromSan
isSubCA;subCaCrlDistributionPointsPresent
subCaCrlDistributionPointsPresent;subCaCrlDistPointsNotMarkedCritical
subCaCrlDistributionPointsPresent;subCaCrlDistPointContainsHttpUrl
subCertCrlDistributionPointsPresent;subCertCrlDistPointsNotMarkedCritical
subCertCrlDistributionPointsPresent;subCertCrlDistPointContainsHttpUrl
subCertAIAPresent;subCertAIANotMarkedCritical
subCertAIAPresent;subCertAIAContainsOCSPUrl
subCAAIAPresent;subCAAIAContainsOCSPUrl
subCAAIAPresent;subCAAIAContainsIssuingCAUrl
isSubCert;dnsWildcardNotLeftOfPublicSuffix
